mz	time	N1	N2	N3	N4	N5	N6	SI1	SI2	SI3	SI4	SI5	SI6
89.07927836	21.02259976	22.88542154	23.5507113	22.34795247	23.42519032	22.69621572	22.22863209	22.42537024	22.24753761	22.4756872	22.04722373	22.43479737	22.3443259
89.0793085	259.7794928	25.40762527	25.46406595	24.80813502	24.7992667	24.67293483	25.4288218	24.47333115	24.95721546	23.39286778	24.01494212	23.82807047	24.63022342
89.49130335	171.0038065	26.72320314	27.1213362	25.95680394	25.9136398	26.26375741	26.59326226	25.80421225	26.45000926	25.96196134	25.01353075	25.95722575	26.07837266
89.50703123	151.4798442	35.27676519	36.35961962	34.86176607	34.69956726	34.47675528	35.39955946	34.13250527	34.69323186	33.8037771	33.41660948	34.52888882	34.18862198
89.52279868	168.0041145	26.63117036	27.98563585	24.38305529	26.24976729	25.39464635	25.36961736	25.07991837	25.67422685	24.82037514	24.34167199	0	24.89226868
89.94015467	226.8119022	24.85129415	25.69724511	26.05714874	25.26035685	24.43826241	25.66363326	24.94680574	25.29622148	24.0489553	24.33032717	24.73713806	24.51722858
90.00556042	162.4209255	27.63832711	28.52547291	26.6743338	26.66966623	27.11234902	26.33843726	24.93323536	0	25.00464801	0	26.52403533	26.26619694
90.00873656	153.2708244	31.21974246	32.1875597	30.83527827	30.75688814	30.47703436	31.39162446	30.21044576	30.796398	29.99605993	29.63838258	30.65808874	30.25585601
90.0379264	232.5431546	23.89831383	24.51451945	23.08125329	23.47500917	23.40420148	23.90626077	23.32391735	22.52165696	23.24911859	22.44162838	22.99778667	22.79856482
90.05525837	118.3849776	29.89001598	30.62623863	29.26544586	28.56961456	28.60993679	29.95196919	26.5483592	29.72925438	27.45407515	28.42825161	26.56868619	28.41213879
90.06334441	265.6932717	24.77927918	25.39556584	24.09966517	23.94168274	25.4535455	24.91348476	25.10065441	24.4026807	24.89550014	23.31534483	24.81373372	25.12114318
90.09163704	156.7946396	28.53534671	29.44008082	28.03653166	28.15598637	28.65497115	28.51439444	27.69153094	28.27111002	28.20443968	27.12433626	28.67302261	27.91060849
90.50724731	162.3523749	30.53884774	31.47788942	30.14798643	30.12152284	29.78565173	30.58503007	29.52600018	30.00570533	29.22417057	28.85146981	29.85020229	29.49033049
90.5103477	180.0270482	25.41651852	26.53358861	24.82904911	25.00609134	25.24924825	25.17239343	24.11540521	24.3252846	24.37781473	24.08658726	24.71479651	24.89890341
90.52612952	188.0014148	32.07850318	33.08817471	31.52725046	31.54268356	31.41774029	32.21135293	31.12394655	31.48741783	30.95601178	30.31661667	31.45578566	31.21313228
90.94799055	234.7222848	26.12366139	29.04723249	26.71838828	27.39602556	26.91904767	27.88629214	27.54824322	27.25730427	26.19843989	25.65996505	25.95103609	25.41932567
90.9608127	110.7084453	23.41189737	25.19051194	23.82534668	22.5688095	22.87943037	24.96990099	23.18216626	23.34849591	22.22556761	22.40376356	22.76049398	22.93708533
90.9769214	92.12525162	33.23332658	34.30849258	32.97173832	32.43934654	32.48481725	33.58977175	32.17672632	32.65589256	31.82999079	31.40888102	32.30627274	32.16246356
90.99305915	107.1922402	23.29484114	25.10769549	23.666132	22.42137964	22.73262984	25.30545247	23.18263692	24.10516508	22.24076848	22.93947044	22.60320045	21.3636083
91.00894351	155.6852921	26.16109226	27.02200583	25.76965135	25.61789537	25.51480432	26.6009508	24.77169055	25.74550482	24.93681221	24.66078917	25.23651096	24.97139204
91.02463567	173.4782902	24.63015957	26.41968433	24.79695096	25.15637901	23.89035471	25.20592738	24.61613922	25.27834472	23.48391313	24.21857123	24.10426763	23.12223641
91.02780466	184.5875282	27.58264187	28.44789883	27.21135686	27.01836794	27.04804578	27.78242649	26.68032459	27.15318169	26.47527645	26.12674573	27.07105749	26.78412708
91.05450065	196.0508726	25.79644627	28.01170821	26.75848852	26.15447336	26.18200822	26.53411438	26.05905478	26.88964658	26.26769339	25.43165102	26.69623788	25.78195967
91.05860274	116.5993924	24.69240262	24.62953554	23.78477111	21.8295055	24.17242044	23.3186928	23.00243489	24.34103647	23.74346162	22.96151049	22.96465276	23.3819256
91.09493632	50.45635896	19.8312964	21.89409509	21.97918209	20.15029618	17.65551801	18.84713228	17.88082541	17.10457741	18.34672372	19.51323371	21.35684675	19.71279599
91.50497033	162.9424206	28.83527402	29.70526279	28.38973456	28.41433814	28.16087258	28.9862154	27.78125995	28.36691581	27.53400995	27.25347891	28.22474185	27.76716753
91.52417625	165.880581	24.30101584	25.18615328	24.35044961	23.92946701	24.02736488	24.42348708	23.48300641	23.63470782	22.98898957	23.4354036	23.93751232	23.42227745
91.54261482	151.0186467	19.60217297	21.25148773	22.08220834	22.18986581	22.64458107	24.63896437	22.63637087	23.36267959	22.75589282	22.24795007	23.61959213	22.57620122
91.5678724	195.829063	23.67369881	21.05860409	23.54391504	22.65081675	23.72960678	22.41704768	21.5431474	21.95591493	22.49081977	22.66701098	23.52162863	23.11284483
91.98027574	99.15550417	26.05712678	26.98482571	26.05751451	25.86477148	25.4827214	26.46273394	25.25343922	25.53163087	25.18287481	24.87154973	25.56186939	25.76649966
92.00664645	152.3337907	23.78856662	24.6480965	0	18.24565409	24.31596048	20.20981704	0	0	21.70629607	22.39484372	0	22.99621707
92.03718664	139.8461013	26.16458206	26.55313915	24.62848463	26.08958507	25.04827908	25.92304926	25.5083677	24.94693051	25.1105665	24.0761961	24.72113728	23.69291237
92.05787538	278.9995791	22.93681402	22.86163942	0	21.48073933	22.32062523	20.38837336	0	0	20.34118544	21.31479471	0	19.37894276
